Cliente,Servicio,Equipo,Fecha,Tecnico,Tecnico2,Presupuesto,Estado,Observacion
QUIMFA,CALIF HPLC DE VALIDACIONES,,2026-02-19,Zulma,,,REALIZADO,CALIF HPLC DE VALIDACIONES
QUIMFA,HPLC 20: MP,,2026-02-19,Jaime,,,REALIZADO,HPLC 20: MP
ANALITICA,MANT PREVENT UPS,UPS,2026-02-20,Junior,,,REALIZADO,MANT PREVENT UPS
ANALITICA,MANT PREVENTIVO EQUIPOS VARIOS (VER LISTA),VARIOS,2026-02-20,Carlos,,,REALIZADO,MANT PREVENTIVO EQUIPOS VARIOS (VER LISTA)
ANALITICA,MANT PREVENTIVO EQUIPOS VARIOS (VER LISTA),VARIOS,2026-02-20,Jose,,,REALIZADO,MANT PREVENTIVO EQUIPOS VARIOS (VER LISTA)
ETICOS,FALLA DE IGNICION (E4204),GC,2026-02-20,Josias,,,REALIZADO,FALLA DE IGNICION (E4204)
ANALITICA,MANT PREVENTIVO EQUIPOS VARIOS (VER LISTA),VARIOS,2026-02-20,Rosana,,,REALIZADO,MANT PREVENTIVO EQUIPOS VARIOS (VER LISTA)
HTAL CLINICAS,RELEVAMIENTO CABINA DE BIOSEGURIDAD 09:00 PRESENTARSE A ELECTROMEDICINA,CABINA,2026-02-20,Jaime,,,REALIZADO,RELEVAMIENTO CABINA DE BIOSEGURIDAD 09:00 PRESENTARSE A ELECTROMEDICINA
ANALITICA,REVISION DEL HORNO DE GRAFITO,AA,2026-02-20,Jaime,,,REALIZADO,REVISION DEL HORNO DE GRAFITO
QUIMFA,HPLC 18 NO ESTABILIZA LA PRESION,HPLC,2026-02-20,Fernando,,,REALIZADO,HPLC 18 NO ESTABILIZA LA PRESION
PLENARIA,PLENARIA 2026,SAN BER,2026-02-21,TODOS,,,REALIZADO,PLENARIA 2026
QUIMFA,CALIF DE 3 HPLC DE VALIDACIONES,HPLC,2026-02-23,Zulma,,,REALIZADO,CALIF DE 3 HPLC DE VALIDACIONES
ANALITICA,MANT PEVENTIVO HPLC 4,HPLC,2026-02-23,José,,,REALIZADO,MANT PEVENTIVO HPLC 4
SHIMADZU,INTERCOMPARATORIO,UV,2026-02-23,Jaime,,,REALIZADO,INTERCOMPARATORIO
ANALITICA,MANT PREVENTIVO UPS,UPS,2026-02-23,Junior,,,REALIZADO,MANT PREVENTIVO UPS
ANALITICA,,,2026-02-23,Fernando,,,REALIZADO,
QUIMFA,CALIF DE 3 HPLC DE VALIDACIONES,HPLC,2026-02-24,Zulma,,,REALIZADO,CALIF DE 3 HPLC DE VALIDACIONES
ANALITICA,MP EQUIPOS VARIOS,VARIOS,2026-02-24,Junior/José,,,REALIZADO,MP EQUIPOS VARIOS
SAN BRITANICO,PROBLEMAS DE CONEXION,RAYOS X,2026-02-24,Carlos,,,REALIZADO,PROBLEMAS DE CONEXION
LAFASA,RELEVAMIENTO GC-2010 GC y VERIFICAR UN UV PARA MP Y CALIF y Relevamiento HPLC,"GC, UV Y HPLC",2026-02-24,Josías/ Fernando,,,REALIZADO,RELEVAMIENTO GC-2010 GC y VERIFICAR UN UV PARA MP Y CALIF y Relevamiento HPLC
ANALITICA,MP EQUIPOS VARIOS,HPLC,2026-02-25,Carlos,,,REALIZADO,MP EQUIPOS VARIOS
MICROBIOTICOS,VERIFICACION EQUIPO LCMS,LCMS,2026-02-25,Josias,,,REALIZADO,VERIFICACION EQUIPO LCMS
LAFASA,INSTALACION HPLC NUEVO,HPLC,2026-02-25,Junior/José,,,REALIZADO,INSTALACION HPLC NUEVO
STA MARGARITA,MP 1 HPLC Y 1 UV,HPLC, 25 AL 27 FEBRERO,Fernando/Zulma,,,REALIZADO,MP 1 HPLC Y 1 UV
ANALITICA,REVISION DEL HORNO GRAFITO,AA,2026-02-25,Jaime,,,REALIZADO,REVISION DEL HORNO GRAFITO
STA MARGARITA,MP 1 HPLC Y 1 UV,HPLC, 25 AL 27 FEBRERO,Fernando/Zulma,,,REALIZADO,MP 1 HPLC Y 1 UV
IRIS,RUIDO EN LA INYECCIÓN,GC,2026-02-26,Junior,,,REALIZADO,RUIDO EN LA INYECCIÓN
STA MARGARITA,MP 1 HPLC Y 1 UV,HPLC,2026-02-27,Fernando/Zulma,,,REALIZADO,MP 1 HPLC Y 1 UV
SCAVONE,HPLC 20 PROBLEMAS DEL FLEX DEL INYECTOR,HPLC,2026-02-27,Junior,,,REALIZADO,HPLC 20 PROBLEMAS DEL FLEX DEL INYECTOR
PROSALUD,HPLC 090 MAL FUNCIONAMIENTO DE LAS BOMBAS,HPLC,2026-02-27,Carlos,,,REALIZADO,HPLC 090 MAL FUNCIONAMIENTO DE LAS BOMBAS
ANALITICA,HORNO GRAFITO FALLA DE SENSOR DE TEMPERATURA,AA,2026-02-27,Jaime,,,REALIZADO,HORNO GRAFITO FALLA DE SENSOR DE TEMPERATURA
QUIMFA,HPLC 14: ERROR Z-HOME POSITION,HPLC,2026-03-03,Jaime,,,REALIZADO,
LAFASA,CALIF HPLC INSTALACION,HPLC,2026-03-03,Zulma,,,REALIZADO,
AKTRA,MANT PREVENTIVO1 HPLC,HPLC,2026-03-03,Junior,,,REALIZADO,
HTAL CLINICAS,RELEVAMIENTO RAYOS X,RAYOS X,2026-03-03,Carlos,,,REALIZADO,
DALLAS,MP 1 EQUIPO,HPLC,2026-03-03,Fernando,,,REALIZADO,
ANALITICA,UFLC 4 PERDIDA DE LIQUIDO,UFLC,2026-03-04,Junior,,,REALIZADO,
IRIS,REVISION DEL EQUIPO GC,GC,2026-03-04,Junior,,,REALIZADO,
PHARMA INDUSTRIES,LLEVAR CELDAS Y CAMBIAR AL HPLC,HPLC,2026-03-04,Fernando,,,REALIZADO,
GUAYAKI,REPUESTO DEL HPLC 2 LLEVAR Y CAMBIAR,HPLC,2026-03-04,Jaime,,,REALIZADO,
LAFASA,CALIF HPLC INSTALACION,HPLC,2026-03-04,Zulma,,,REALIZADO,
SENACSA,RELEVAMIENTO EQUIPO AA-6800,AA,2026-03-05,Jaime,,,REALIZADO,
PHARMA INDUSTRIES,CALIF 1 HPLC,HPLC,2026-03-05,Zulma,,,REALIZADO,
HTAL FILADELFIA,MANT PREVENTIVO EQUIPO RAYOS X,RAYOS X,2026-02-05,Carlos,,,REALIZADO,
TECNOMYL,HPLC11 : ERROR EN EL AUTOSAMPLER,HPLC,2026-02-05,Junior,,,REALIZADO,
FUSQUIM,MANT PREVENTIVO 5 HPLC,HPLC,2026-03-05,Fernando,,,REALIZADO,
PHARMA INDUSTRIES,CALIF 1 HPLC,HPLC,2026-03-06,Zulma,,,REALIZADO,
HTAL FILADELFIA,MANT PREVENTIVO EQUIPO RAYOS X,RAYOS X,2026-02-06,Carlos,,,REALIZADO,
SCAVONE,DISOLUTOR PROBLEMAS DE LA JERINGA,DISOLUTOR,2026-02-06,Junior,,,REALIZADO,
FUSQUIM,MANT PREVENTIVO 5 HPLC,HPLC,2026-03-06,Fernando,,,REALIZADO,
GUAYAKI,LLEVAR EQUIPO DE GUAYAKI HPLC 2,HPLC,2026-03-06,Jaime,,,REALIZADO,
SCAVONE,LLEVAR HPLC 20 REPARADO CON LA FACTURA DEL SERVICIO,HPLC,2026-03-09,Junior,,,REALIZADO,LLEVAR HPLC 20 REPARADO CON LA FACTURA DEL SERVICIO
CMB,EQUIPO RAYOS X SE MOJO,RAYOS X,2026-03-09,Carlos,,,REALIZADO,EQUIPO RAYOS X SE MOJO
AKTRA,CALIF 1 HPLC,HPLC,2026-03-09,Zulma,,,REALIZADO,CALIF 1 HPLC
FUSQUIM,MANT PREVENTIVO HPLC 475,HPLC,2026-03-09,Fernando,,,REALIZADO,MANT PREVENTIVO HPLC 475
ALMOS,UV: NO SE VISUALIZA NADA EN LA PANTALLA E IR: PRESENTA RUIDO,UV/ IR,2026-03-09,Jaime,,,REALIZADO,UV: NO SE VISUALIZA NADA EN LA PANTALLA E IR: PRESENTA RUIDO
PROSALUD,"MANT PREVENTIVO HPLC 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 007",HPLC,2026-03-10,Fernando/José,,,REALIZADO,
CORPEXIM,MANT PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES),HPLC,2026-03-10,Junior,,,REALIZADO,
ANALITICA,CALIF HPLC 5,HPLC,2026-03-10,Zulma,,,REALIZADO,
PROSALUD,"MANT PREVENTIVO HPLC 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 007",HPLC,2026-03-10,Carlos,,,REALIZADO,
TALLER,CAMBIAR EL REPUESTO DEL TOC DE INDUFAR,TOC,2026-03-10,Jaime,,,REALIZADO,
PROSALUD,"MANT PREVENTIVO HPLC 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 007",HPLC,2026-03-11,Fernando,,,REALIZADO,"MANT PREVENTIVO HPLC 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 007"
QUIMFA,PROBLEMAS CON EL DETCTOR RID DE VIVIVANA,HPLC,2026-03-11,Carlos,,,REALIZADO,PROBLEMAS CON EL DETCTOR RID DE VIVIVANA
HTAL CLINICAS,CAPACITACION EQUIPO RAYOS X 8:30 AM,RAYOS X,2026-03-11,Carlos,,,REALIZADO,CAPACITACION EQUIPO RAYOS X 8:30 AM
CORPEXIM,MANT PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES),HPLC,2026-03-11,Junior,,,REALIZADO,MANT PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES)
CORPEXIM,CALIF PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES),HPLC,2026-03-11,Zulma,,,REALIZADO,CALIF PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES)
PHARMA IND,PERDIDA DE LIQUIDO,HPLC,2026-03-12,Fernando/José,,,REALIZADO,PERDIDA DE LIQUIDO
ALMOS,PROBAR EL ENCHUFE POWER DEL IR,HPLC,2026-03-12,Junior,,,REALIZADO,PROBAR EL ENCHUFE POWER DEL IR
INPET,"INSTALACION, CALIF Y CAPATACITACION GC-2030",GC,2026-03-12,Jaime/Josías,,,REALIZADO,"INSTALACION, CALIF Y CAPATACITACION GC-2030"
CORPEXIM,CALIF PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES),HPLC,2026-03-12,Zulma,,,REALIZADO,CALIF PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES)
CORPEXIM,CALIF PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES),HPLC,2026-03-13,Zulma,,,REALIZADO,CALIF PREVENT 2 HPLC (1 MODULAR/ 1 HPLC I-SERIES)
INPET,"INSTALACION, CALIF Y CAPATACITACION GC-2030",GC,2026-03-13,Jaime/Josías,,,REALIZADO,"INSTALACION, CALIF Y CAPATACITACION GC-2030"
IRIS,ERROR DE CONEXION GC 2010,GC,2026-03-13,Junior,,,REALIZADO,ERROR DE CONEXION GC 2010
TALLER,ALMOS: REVISAR EQUIPO IR TIENE RUIDO,IR,2026-03-13,Junior,,,REALIZADO,ALMOS: REVISAR EQUIPO IR TIENE RUIDO
ANALITICA,REVISAR HPLC 5,HPLC,2026-03-13,Fernando/José,,,REALIZADO,REVISAR HPLC 5
ETICOS,DETECTA LIQUIDO EN EL HORNO  LFQHPL07,HPLC,2026-03-13,Fernando/José,,,REALIZADO,DETECTA LIQUIDO EN EL HORNO  LFQHPL07
SUMI,CAPACITACION DE MANTENIMIENTO DEL TOC,TOC,2026-03-14,TODOS,,,REALIZADO,CAPACITACION DE MANTENIMIENTO DEL TOC
MICROBIOTICOS,RETIRAR CONTROLADOR DE GAS GCMS QP2010 ADOLFO NIÑO,GCMS,2026-03-16,Fernando,,,REALIZADO,RETIRAR CONTROLADOR DE GAS GCMS QP2010 ADOLFO NIÑO
QUIMFA,HPLC 21: ERROR x9110 FRANCISCA VARGAS,HPLC,2026-03-16,Fernando,,,REALIZADO,HPLC 21: ERROR x9110 FRANCISCA VARGAS
INPET,INSTALACION/CALIF/CAPACITACION GC-2030,GC,2026-03-16,Josías,,,REALIZADO,INSTALACION/CALIF/CAPACITACION GC-2030
GUAYAKI,CALIF HPLC 2 MOD,HPLC,2026-03-16,Zulma,,,REALIZADO,CALIF HPLC 2 MOD
HTAL ENCARNACION,INSTALACION MICROSCOPIO MULTICABEZAL,MICROSCOPIO,2026-03-17,Carlos,,,REALIZADO,INSTALACION MICROSCOPIO MULTICABEZAL
GALMEDIC,PROBLEMAS CON EL SOFTWARE  IR  LLEVAR FACTURA,SOFTWARE,2026-03-17,Fernando,,,REALIZADO,PROBLEMAS CON EL SOFTWARE  IR  LLEVAR FACTURA
ANALITICA,PROBLEMAS CON EL HORNO GRAFITO,AA,2026-03-17,Jaime,,,REALIZADO,PROBLEMAS CON EL HORNO GRAFITO
HTAL ENCARNACION,INSTALACION MICROSCOPIO MULTICABEZAL,MICROSCOPIO,2026-03-18,Carlos,,,REALIZADO,
ALMOS,RETIRAR IR PARA REVISION EN EL TALLER DE SUMI,IR,2026-03-18,Junior,,,REALIZADO,
QUIMFA,HPLC 21 PROBLEMAS DE HOME POSITION,HPLC,2026-03-19,Junior,,,REALIZADO,
ETICOS,"CAMBIO DE DISPLAY, MANTENIMIENTO Y CALIFICACION UV 1900 JESSICA PAVON",ETICOS,2026-03-20,Jaime,,,REALIZADO,"CAMBIO DE DISPLAY, MANTENIMIENTO Y CALIFICACION UV 1900 JESSICA PAVON"
PHARMA IND,HPLC PIERDE LIQUIDO EN LA BOMBA,HPLC,2026-03-20,Fernando,,,REALIZADO,HPLC PIERDE LIQUIDO EN LA BOMBA
CEMIT,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19",VARIOS,2026-03-23,Jaime/José/FERNANDO,,,PENDIENTE,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19"
CEMIT,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19",VARIOS,2026-03-23,Jaime,,,PENDIENTE,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19"
PROSALUD,"CALIF HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010 Y TRAER EL RAMAN",HPLC,2026-03-23,Zulma,,,REALIZADO,"CALIF HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010 Y TRAER EL RAMAN"
CEMIT,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19",VARIOS,2026-03-24,Fernando,,,REALIZADO,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19"
CEMIT,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19",VARIOS,24/03/0226,Jaime/José/FERNANDO,,,REALIZADO,"MANT PREVENTIVO AA-7000, GC-2014 Y HPLC 19"
CEMIT,"CALIF 1 EQUIPO AA-7000, GC",VARIOS,2026-03-24,Jaime,,,REALIZADO,"CALIF 1 EQUIPO AA-7000, GC"
PROSALUD,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010",HPLC,2026-03-24,Zulma,,,REALIZADO,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010"
GRAMON,"HPLC 1, MANTENIMIENTO CORRECTIVO ALICIA PARRA",HPLC,2026-03-24,Junior,,,REALIZADO,"HPLC 1, MANTENIMIENTO CORRECTIVO ALICIA PARRA"
INPASA,"INSTALACION, CALIF Y CAPAC GC-2050 (A CONFIRMAR)",GC,2026-03-24,José/Josías,,,REALIZADO,"INSTALACION, CALIF Y CAPAC GC-2050 (A CONFIRMAR)"
CEMIT,,,2026-03-25,Fernando,,,REALIZADO,
CEMIT,"CALIF 1 EQUIPO AA-7000, GC",VARIOS,2026-03-25,Jaime,,,REALIZADO,"CALIF 1 EQUIPO AA-7000, GC"
ETICOS,MANT PREVENTIVO Y CALIF 2 EQUIPOS GC,GC,2026-03-25,,,,REALIZADO,MANT PREVENTIVO Y CALIF 2 EQUIPOS GC
PROSALUD,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010",HPLC,2026-03-25,Zulma,,,REALIZADO,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010"
SCAVONE,HPLC 31 LLEVAR Y CAMBIAR REPUESTOS HOUSING TOP RELEVAMIENTO PARA MP,HPLC,2026-03-25,Junior,,,REALIZADO,HPLC 31 LLEVAR Y CAMBIAR REPUESTOS HOUSING TOP RELEVAMIENTO PARA MP
SCAVONE,UV MICRO MANT PREV CELSO CONSOLE LLEVAR FACTURA,HPLC,2026-03-25,Carlos,,,REALIZADO,UV MICRO MANT PREV CELSO CONSOLE LLEVAR FACTURA
INTN,REALIZAR RELEVAMIENTO PARA MP AL AA-7800,AA-7800,2026-03-26,Jaime,,,REALIZADO,REALIZAR RELEVAMIENTO PARA MP AL AA-7800
ETICOS,MANT 2 HPLC  DE CAROLINA BENITEZ,HPLC,2026-03-26,Fernando,,,REALIZADO,MANT 2 HPLC  DE CAROLINA BENITEZ
ETICOS,MANT PREVENTIVO Y CALIF 2 EQUIPOS GC,GC,2026-03-26,,,,REALIZADO,MANT PREVENTIVO Y CALIF 2 EQUIPOS GC
PROSALUD,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010",HPLC,2026-03-26,Zulma,,,REALIZADO,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010"
PROSALUD,"MANT CORRECTIVO CCF-HPLC,138",HPLC,2026-03-26,Carlos,,,REALIZADO,"MANT CORRECTIVO CCF-HPLC,138"
ALMOS,ENTREGA DE FTIR,FTIR,2026-03-26,Junior,,,REALIZADO,ENTREGA DE FTIR
ETICOS,INSTALACION DEL SOFTWARE UV-PROVE,SOFTWARE,2026-03-27,Fernando,,,REALIZADO,INSTALACION DEL SOFTWARE UV-PROVE
ETICOS,MANT 2 HPLC  DE CAROLINA BENITEZ,HPLC,2026-03-27,Fernando,,,REALIZADO,MANT 2 HPLC  DE CAROLINA BENITEZ
PROSALUD,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010",HPLC,2026-03-27,Zulma,,,REALIZADO,"CALIF PREVENTIVO HPLC130, 131, 086, DEA-HPLC.001, 003, DEA-HPLC.005, 006 Y 010"
PROSALUD,MC HPLC,HPLC,2026-03-27,Carlos,,,REALIZADO,MC HPLC
FUSQUIM,verificación del equipo Espectrofotómetro TAG: EUV-CONT068,UV EUV-CONT068,2026-04-01,JUNIOR,,,REALIZADO,"Falla: Inconveniente con la impresora, aparente desconfiguración"
QUIMFA,MP A 3 UV Y 1 HPLC,VARIOS,2026-03-30,CARLOS/JOSE,,,REALIZADO,EN ESPERA DE OC PARA LOS CONSUMIBLES
TECNOMYL,MC A DOS CROMATÓGRAFOS DE GASES,GC,2026-03-31,FERNANDO,,,REALIZADO,GC03 son problemas con el encendido de la llama y con el GC04 problemas de repetibilidad
ETICOS,CALIF 2 HPLC  DE CAROLINA BENITEZ,HPLC,2026-03-31,Zulma,,,REALIZADO,
ETICOS,asistencia técnica para el HPLC,IYDHPL12,2026-03-30,TECNICOS,,,REALIZADO,suele cortar la corrida de los análisis.
TALLER,DUROMETRO PROBLAMAS DE LA PLACA,SOTAX,2026-03-06,Junior,,,REALIZADO,DUROMETRO PROBLAMAS DE LA PLACA
QUIMFA,HPLC 23: PROBLEMAS CON EL DETECTOR,HPLC,2026-03-06,Carlos/Adan,,,REALIZADO,HPLC 23: PROBLEMAS CON EL DETECTOR
QUIMFA,HPLC 20: VARIACION Y FLUCTUACION DE PRESION,HPLC,2026-04-07,Fernando,,,REALIZADO,HPLC 20: VARIACION Y FLUCTUACION DE PRESION
FCQ-UNA,RELEVAMIENTO HPLC LC-10AD FATIMA CABAÑAS,HPLC,2026-04-07,Carlos,,,REALIZADO,RELEVAMIENTO HPLC LC-10AD FATIMA CABAÑAS
MSP&BS,HTAL DE OVIEDO: INSTALACION DE CABINA DE FLUJO LAMINAR,CABINA,2026-04-07,Junior/Jose,,,REALIZADO,HTAL DE OVIEDO: INSTALACION DE CABINA DE FLUJO LAMINAR
ETICOS,CALIF DE DOS GC CON HS,GC,2026-04-07,Adán/Zulma,,,REALIZADO,CALIF DE DOS GC CON HS
HTAL CLINICAS,DIAGNOSTICO DE RAYOS X,RAYOS X,2026-04-08,Carlos,,,REALIZADO,DIAGNOSTICO DE RAYOS X
GALENO,PÉRDIDA DE LIQUIDO EN LA BOMBA,HPLC,2026-04-08,Fernando,,,REALIZADO,PÉRDIDA DE LIQUIDO EN LA BOMBA
DUTRIEC,HPLC PERDIDA DE LIQUIDO EN BOMBA,HPLC,2026-04-08,Fernando,,,REALIZADO,HPLC PERDIDA DE LIQUIDO EN BOMBA
ETICOS,CALIF DE DOS GC CON HS,GC,2026-04-08,Adán/Zulma,,,REALIZADO,CALIF DE DOS GC CON HS
MSP&BS,HTAL DE OVIEDO: INSTALACION DE CABINA DE FLUJO LAMINAR,CABINA,2026-04-08,Junior/José,,,REALIZADO,HTAL DE OVIEDO: INSTALACION DE CABINA DE FLUJO LAMINAR
QUIMFA,HPLC 14: PROBLEMAS CON EL DESGASIFICADOR FATIMA QUINTANA,HPLC,2026-04-09,Carlos,,,REALIZADO,HPLC 14: PROBLEMAS CON EL DESGASIFICADOR FATIMA QUINTANA
QUIMFA,HPLC 16: LLEVAR LOS REPUESTOS Y CAMBIAR,HPLC,2026-04-09,Fernando/José,,,REALIZADO,HPLC 16: LLEVAR LOS REPUESTOS Y CAMBIAR
ETICOS,CALIF DE DOS GC CON HS,GC,2026-04-09,Adán/Zulma,,,REALIZADO,CALIF DE DOS GC CON HS
WILHELM,GC-2010 SE APAGA LA LLAMA EN PLENO CICLO ALVARO PAEZ,GC,2026-04-09,Junior,,,REALIZADO,GC-2010 SE APAGA LA LLAMA EN PLENO CICLO ALVARO PAEZ
GUAYAKI,ENTREGA DE BALANZA NUEVA PAOLA ORELLA,BALANZA,2026-04-10,José,,,REALIZADO,ENTREGA DE BALANZA NUEVA PAOLA ORELLA
QUIMFA,INSTALACION DEL RID DE VIVIANA SABATE,HPLC,2026-04-10,Fernando,,,REALIZADO,INSTALACION DEL RID DE VIVIANA SABATE
QUIMFA,LLEVAR E INSTALAR REPUESTOS DEL HPLC 32,HPLC,2026-04-10,Carlos,,,REALIZADO,LLEVAR E INSTALAR REPUESTOS DEL HPLC 32
ETICOS,CALIF DE DOS GC CON HS,GC,2026-04-10,Adán/Zulma,,,REALIZADO,CALIF DE DOS GC CON HS
IRIS,CAMBIO DE LOS FILTROS GC,GC,2026-04-10,Junior,,,REALIZADO,CAMBIO DE LOS FILTROS GC
TECNOMYL,MANT PREVENTIVO  1 HPLC EN IDE,HPLC,2026-04-13,Carlos/José,,,REALIZADO,MANT PREVENTIVO  1 HPLC EN IDE
DUTRIEC,CAMBIO DE LOS SELLOS HPLC DG EQ 015 ENRIQUE CATALDO,HPLC,2026-04-13,Fernando,,,REALIZADO,CAMBIO DE LOS SELLOS HPLC DG EQ 015 ENRIQUE CATALDO
QUIMFA,CALIFICACION DEL RID,HPLC,2026-04-13,Zulma,,,REALIZADO,CALIFICACION DEL RID
ETICOS,CALIFICACION DE 2 EQUIPOS GC,GC,2026-04-13,Adán,,,REALIZADO,CALIFICACION DE 2 EQUIPOS GC
QUIMFA,PRUEBAS AL HPLC 16 VIVIANA SABATE,HPLC,2026-04-13,Junior,,,REALIZADO,PRUEBAS AL HPLC 16 VIVIANA SABATE
QUIMFA,MANTENIMIENTO PREVENTIVO UV 1800 CONTROL DE PROCESOS GLORIA BALBUENA,UV,2026-04-13,Junior,,,REALIZADO,MANTENIMIENTO PREVENTIVO UV 1800 CONTROL DE PROCESOS GLORIA BALBUENA
QUIMFA,RELEVAMIENTO EQUIPOS DE LIZ SOSA ONCOLOGICOS,VARIOS,2026-04-13,Junior,,,REALIZADO,RELEVAMIENTO EQUIPOS DE LIZ SOSA ONCOLOGICOS
SCAVONE,PROBLEMAS DEL HPLC 31 OSVALDO CACERES,HPLC,2026-04-14,Carlos,,,REALIZADO,PROBLEMAS DEL HPLC 31 OSVALDO CACERES
TECNOMYL,MANT PREVENTIVO  3 HPLC EN CCA,HPLC,2026-04-14,Fernando,,,REALIZADO,MANT PREVENTIVO  3 HPLC EN CCA
QUIMFA,CAMBIO LAMPARA DEL UV,UV,2026-04-14,Junior,,,REALIZADO,CAMBIO LAMPARA DEL UV
TECNOMYL,MANT PREVENTIVO  3 HPLC EN CCA,HPLC,2026-04-15,José,,,REALIZADO,MANT PREVENTIVO  3 HPLC EN CCA
SUMI,REUNION SOBRE INSIGHT CON SHIMADZU,SOFTWARE,2026-04-15,Fernando,,,REALIZADO,REUNION SOBRE INSIGHT CON SHIMADZU
ANALITICA,BATERIAS DEL DESFIBRILADOR,DESFIBRILADOR,2026-04-15,Junior,,,REALIZADO,BATERIAS DEL DESFIBRILADOR
ORTEGABIOLAB,CAPACITACIÓN EQUIPO FLAT PANEL,FLAT PANEL,2026-04-16,Carlos,,,REALIZADO,CAPACITACIÓN EQUIPO FLAT PANEL
QUIMFA,ASISTENCIA HPLC 2 Y 18 DE PABLO MALDONADO,HPLC,2026-04-16,Carlos,,,REALIZADO,ASISTENCIA HPLC 2 Y 18 DE PABLO MALDONADO
QUIMFA,HPLC 31: PERDIDA DE LIQUIDO CONTROL DE CALIDAD,HPLC,2026-04-16,Carlos,,,REALIZADO,HPLC 31: PERDIDA DE LIQUIDO CONTROL DE CALIDAD
MSP&BS,ENTREGA DE DOS ESTUFAS CAPIATÁ Y NUEVA ITALIA,ESTUFAS,2026-04-16,José,,,REALIZADO,ENTREGA DE DOS ESTUFAS CAPIATÁ Y NUEVA ITALIA
IRIS,GC-2010 PROBLEMAS CON LA LLAMA Y GC-2030 TIENE RUIDO,GC,2026-04-16,Junior/Fernando,,,REALIZADO,GC-2010 PROBLEMAS CON LA LLAMA Y GC-2030 TIENE RUIDO
TECNOMYL,GC 03 PROBLEMAS DE CONEXION,GC,2026-04-16,Fernando,,,REALIZADO,GC 03 PROBLEMAS DE CONEXION
ANALITICA,DIGESTOR CEM NO ENCIENDE MONITOR,CEM,2026-04-16,Fernando,,,REALIZADO,DIGESTOR CEM NO ENCIENDE MONITOR
ANALITICA,GCMS:  PROBLEMA DE CONEXION,GCMS,2026-04-16,Fernando o Adán,,,REALIZADO,GCMS:  PROBLEMA DE CONEXION
ANALITICA,GC: NO LEVANTA PRESION,GC,2026-04-16,Adán,,,REALIZADO,GC: NO LEVANTA PRESION
SCAVONE,HPLC 37: CAMBIAR SAMPLE LOOP/ PROBLEMAS CON EL GC,GC/HPLC,2026-04-17,Junior,,,REALIZADO,HPLC 37: CAMBIAR SAMPLE LOOP/ PROBLEMAS CON EL GC
TALLER,IMPRESORA DE BALANZA DE INDUFAR,IMPRESORA,2026-04-20,José,,,REALIZADO,IMPRESORA DE BALANZA DE INDUFAR
TECNOMYL,GC 03: PROBLEMAS DE CONEXION,GC,2026-04-20,Fernando,,,REALIZADO,GC 03: PROBLEMAS DE CONEXION
HTAL CLINICAS,VERIFICACION DE LOS REPUESTOS CON SOPORTE BRASIL SHIMADZU (A CONFIRMAR),RAYOS X,2026-04-20,Carlos,,,REALIZADO,VERIFICACION DE LOS REPUESTOS CON SOPORTE BRASIL SHIMADZU (A CONFIRMAR)
QUIMFA,MANT PREVENTIVO IR ONCOLOGIA,IR,2026-04-20,Carlos,,,REALIZADO,MANT PREVENTIVO IR ONCOLOGIA
